obsid next_obsid time timestop date datestop gui_ms manvr_angle manvr_slew_err one_shot roll_err pitch_err yaw_err
18684 16825 561212643.493 561256827.146 2015:287:12:22:55.309 2015:288:00:39:18.962 ENAB 85.56 67.9 43.036781311035156 1.684791390035273 0.30379740109421194 0.30654614369111216
16825 18681 561258760.296 561268897.546 2015:288:01:11:32.112 2015:288:04:00:29.362 ENAB 70.26 48.9 13.657377243041992 0.7202676417051692 0.25670123739735734 0.24011303243555035
18681 18641 561270580.597 561316765.049 2015:288:04:28:32.413 2015:288:17:18:16.865 ENAB 124.21 53.3 10.635078430175781 0.46555468596554467 0.27914580013273793 0.22343367421367458
18641 17087 561319165.599 561341950.326 2015:288:17:58:17.415 2015:289:00:18:02.142 ENAB 66.69 50.2 8.976861000061035 1.0353222171622818 0.35887616287117885 0.22779865659679377
17087 51563 561343589.301 561358797.227 2015:289:00:45:21.117 2015:289:04:58:49.043 ENAB 0.0 20.3 6.121922016143799 2.4054064046395354 0.3442536904379418 0.30516348061638077
51563 51562 561359292.302 561359403.002 2015:289:05:07:04.118 2015:289:05:08:54.818 ENAB 115.81 40.0 23.361515045166016 15.637899564994552 2.6957169502172156 0.7331810702407316
51562 51561 561361723.602 561366286.9020001 2015:289:05:47:35.418 2015:289:07:03:38.718 ENAB 75.1 32.7 16.885177612304688 2.063060910807416 0.2957295402919319 0.23536285764885134
51561 51560 561368041.702 561378197.403 2015:289:07:32:53.518 2015:289:10:22:09.219 ENAB 109.07 37.0 18.35934829711914 1.5905004617905816 0.3069004764295731 0.25522605160629347
51560 51559 561380415.503 561400273.854 2015:289:10:59:07.319 2015:289:16:30:05.670 ENAB 83.21 32.9 9.964150428771973 1.827270107456014 0.39896905855349796 0.3400303623595728
51559 18685 561402120.904 561405405.004 2015:289:17:00:52.720 2015:289:17:55:36.820 ENAB 163.87 49.1 38.1212158203125 1.5972987428380934 0.5049182992882879 0.2536620199951666
